,index,count,co_ord
46,frame-68.jpg,1,"[array([   2,    4, 1437, 1072])]"
47,frame-124.jpg,1,"[array([ 604,   56, 1860, 1072])]"
48,frame-53.jpg,2,"[array([ 734,   57, 1767, 1066]), array([   0,    2, 1080, 1066])]"
49,frame-75.jpg,3,"[array([   2,  128,  781, 1068]), array([ 831,   62, 1314,  874]), array([1344,  332, 1425,  509])]"
50,frame-88.jpg,2,"[array([ 843,    4, 1916, 1060]), array([ 428,   75, 1102,  993])]"
51,frame-18.jpg,1,"[array([1302,   58, 1611,  508])]"
52,frame-27.jpg,1,"[array([   2,    2, 1264,  502])]"
53,frame-19.jpg,3,"[array([   3,    4,  536, 1062]), array([ 598,   40, 1686, 1069]), array([1653,  279, 1917, 1068])]"
54,frame-137.jpg,1,"[array([ 734,  116, 1608, 1069])]"
55,frame-129.jpg,7,"[array([1184,   51, 1918, 1066]), array([   1,   33,  682, 1066]), array([ 673,  253, 1228, 1068]), array([1121,  200, 1334,  550]), array([467, 118, 722, 719]), array([ 782,   91, 1250,  678]), array([ 956,   94, 1069,  257])]"
56,frame-128.jpg,4,"[array([ 138,    2,  831, 1064]), array([1034,   46, 1486, 1066]), array([1419,  119, 1920, 1069]), array([   1,   22,  450, 1065])]"
57,frame-1.jpg,1,"[array([  22,    8, 1060, 1066])]"
58,frame-16.jpg,6,"[array([ 203,  147, 1048, 1054]), array([ 688,  218, 1914, 1067]), array([   2,  398,  466, 1066]), array([1483,  233, 1920,  960]), array([ 760,   44, 1042,  608]), array([1750,   19, 1918,  729])]"
59,frame-6.jpg,3,"[array([1179,   45, 1914,  898]), array([  2,  34, 685, 878]), array([ 618,  137, 1218,  623])]"
60,frame-108.jpg,3,"[array([   2,    3,  298, 1058]), array([527, 218, 810, 688]), array([687,   0, 930, 442])]"
61,frame-47.jpg,6,"[array([  8, 265, 403, 787]), array([1282,  205, 1695,  653]), array([ 969,  189, 1140,  396]), array([1304,   74, 1442,  316]), array([1161,   38, 1250,  318]), array([1569,  206, 1692,  365])]"
62,frame-48.jpg,2,"[array([ 546,   89, 1918, 1062]), array([1665,    3, 1917,  557])]"
